group,label,weight_archive,n,rmse,mae
year,2022,0.0400000000,495,0.0677185600,0.0417915552
year,2022,0.0600000000,495,0.0677008515,0.0417608513
year,2022,0.0800000000,495,0.0676854388,0.0417323342
year,2022,0.1000000000,495,0.0676723235,0.0417041943
year,2022,0.1200000000,495,0.0676615070,0.0416814421
year,2022,0.1400000000,495,0.0676529902,0.0416629084
year,2022,0.1600000000,495,0.0676467741,0.0416481492
year,2022,0.1800000000,495,0.0676428593,0.0416427935
year,2022,0.2000000000,495,0.0676412463,0.0416448375
year,2022,0.2200000000,495,0.0676419351,0.0416468816
year,2022,0.2400000000,495,0.0676449257,0.0416489257
year,2022,0.2600000000,495,0.0676502179,0.0416509698
year,2022,0.2800000000,495,0.0676578110,0.0416562525
year,2022,0.3000000000,495,0.0676677043,0.0416626944
year,2022,0.3200000000,495,0.0676798967,0.0416717539
year,2022,0.3400000000,495,0.0676943872,0.0416831526
year,2022,0.3600000000,495,0.0677111740,0.0416968663
year,2022,0.3800000000,495,0.0677302557,0.0417132957
year,2022,0.4000000000,495,0.0677516301,0.0417297250
year,2022,0.4200000000,495,0.0677752952,0.0417463249
