seed,radius,crop,method,pred,n,rmse,coverage
0,8,0,mean,blend0.02,2644,0.07142239956391919,0.9977307110438729
0,8,0,mean,blend0.03,2644,0.07150747910122911,0.9977307110438729
0,8,0,mean,blend0.05,2644,0.07179085302894167,0.9977307110438729
0,8,0,mean,blend0.08,2644,0.07249519007314677,0.9977307110438729
0,8,0,mean,blend0.1,2644,0.07314674916009178,0.9977307110438729
0,8,0,mean,blend0.15,2644,0.07538358933547132,0.9977307110438729
0,8,0,mean,blend0.2,2644,0.07842603179972767,0.9977307110438729
0,8,0,mean,blend0.3,2644,0.08656622431634439,0.9977307110438729
0,8,0,mean,blend0.4,2644,0.09684860917068798,0.9977307110438729
0,8,0,mean,hard,2644,0.1804773163255021,0.9977307110438729
0,8,0,mean,blend0.01,2644,0.0713775185068975,0.9977307110438729
0,8,0,mean,blend0.02,2644,0.07142799884546908,0.9977307110438729
0,8,0,mean,blend0.03,2644,0.07151748843113583,0.9977307110438729
0,8,0,mean,blend0.05,2644,0.07181284843986277,0.9977307110438729
0,8,0,mean,blend0.08,2644,0.07254282002442657,0.9977307110438729
0,8,0,mean,blend0.1,2644,0.07321630557655959,0.9977307110438729
0,8,0,mean,blend0.15,2644,0.07552318281561288,0.9977307110438729
0,8,0,mean,blend0.2,2644,0.07865402991587715,0.9977307110438729
0,8,0,mean,blend0.3,2644,0.08700926156497815,0.9977307110438729
0,8,0,mean,blend0.4,2644,0.09753508563847882,0.9977307110438729
0,16,1,median,mix,2644,0.1851947499040045,0.995839636913767
0,16,1,median,blend0.01,2644,0.07139649838767703,0.995839636913767
0,16,1,median,blend0.02,2644,0.07146787578502874,0.995839636913767
0,16,1,median,blend0.03,2644,0.07158013970724227,0.995839636913767
0,16,1,median,blend0.05,2644,0.0719264916099781,0.995839636913767
0,16,1,median,blend0.08,2644,0.0727457195864324,0.995839636913767
0,16,1,median,blend0.1,2644,0.07348647463154516,0.995839636913767
0,16,1,median,blend0.15,2644,0.07598453667857406,0.995839636913767
0,16,1,median,blend0.2,2644,0.07933211062851388,0.995839636913767
0,16,1,median,blend0.3,2644,0.08816512920597484,0.995839636913767
0,16,1,median,blend0.4,2644,0.09919062781920049,0.995839636913767
0,16,1,median,hard,2644,0.18697976579723954,0.995839636913767
0,16,1,median,blend0.01,2644,0.07139829590519987,0.995839636913767
0,16,1,median,blend0.02,2644,0.07147236590010016,0.995839636913767
0,16,1,median,blend0.03,2644,0.07158821010804843,0.995839636913767
0,16,1,median,blend0.05,2644,0.0719443412262672,0.995839636913767
0,16,1,median,blend0.08,2644,0.07278454623702794,0.995839636913767
0,16,1,median,blend0.1,2644,0.07354325039177445,0.995839636913767
0,16,1,median,blend0.15,2644,0.07609854709531008,0.995839636913767
