group,model,cap,cohort,n,rmse,baseline_rmse,delta_rmse
group_aoiyear,ridge30,0.02,new_2025,623,0.13861333351681943,0.13720534816020127,0.0014079853566181522
group_aoiyear,ridge30,0.02,shared_2025,789,0.059522209014566514,0.05919489273644048,0.0003273162781260372
group_aoiyear,ridge30,0.04,all,4814,0.07828556119999701,0.07828438403249433,1.1771675026833739e-06
group_aoiyear,ridge30,0.04,history,3402,0.06562339374837678,0.06642257497532737,-0.0007991812269505932
group_aoiyear,ridge30,0.04,2025,1412,0.1025618940027011,0.10131168943801397,0.0012502045646871351
group_aoiyear,ridge30,0.04,new,4025,0.08139374174949769,0.08150395229491074,-0.00011021054541304753
group_aoiyear,ridge30,0.04,shared,789,0.05997287237367425,0.05919489273644048,0.0007779796372337708
group_aoiyear,ridge30,0.04,new_history,3402,0.06562339374837678,0.06642257497532737,-0.0007991812269505932
group_aoiyear,ridge30,0.04,new_2025,623,0.13887251859502078,0.13720534816020127,0.0016671704348195093
group_aoiyear,ridge30,0.04,shared_2025,789,0.05997287237367425,0.05919489273644048,0.0007779796372337708
group_aoiyear,ridge30,0.06,all,4814,0.07829035390912395,0.07828438403249433,5.96987662962456e-06
group_aoiyear,ridge30,0.06,history,3402,0.06563531994725608,0.06642257497532737,-0.0007872550280712959
group_aoiyear,ridge30,0.06,2025,1412,0.10255597943568068,0.10131168943801397,0.0012442899976667088
group_aoiyear,ridge30,0.06,new,4025,0.08139491969974158,0.08150395229491074,-0.00010903259516915897
group_aoiyear,ridge30,0.06,shared,789,0.06000288175078478,0.05919489273644048,0.0008079890143443055
group_aoiyear,ridge30,0.06,new_history,3402,0.06563531994725608,0.06642257497532737,-0.0007872550280712959
group_aoiyear,ridge30,0.06,new_2025,623,0.13884619931792805,0.13720534816020127,0.0016408511577267748
group_aoiyear,ridge30,0.06,shared_2025,789,0.06000288175078478,0.05919489273644048,0.0008079890143443055
group_aoiyear,ridge30,0.08,all,4814,0.07830147746540522,0.07828438403249433,1.7093432910897377e-05
group_aoiyear,ridge30,0.08,history,3402,0.0656533691559841,0.06642257497532737,-0.0007692058193432688
group_aoiyear,ridge30,0.08,2025,1412,0.10255709721784542,0.10131168943801397,0.0012454077798314533
group_aoiyear,ridge30,0.08,new,4025,0.08140553422244795,0.08150395229491074,-9.841807246278866e-05
group_aoiyear,ridge30,0.08,shared,789,0.060017981649395584,0.05919489273644048,0.0008230889129551069
group_aoiyear,ridge30,0.08,new_history,3402,0.0656533691559841,0.06642257497532737,-0.0007692058193432688
group_aoiyear,ridge30,0.08,new_2025,623,0.1388398051813882,0.13720534816020127,0.0016344570211869192
group_aoiyear,ridge30,0.08,shared_2025,789,0.060017981649395584,0.05919489273644048,0.0008230889129551069
group_aoiyear,ridge100,0.02,all,4814,0.07810793529768396,0.07828438403249433,-0.00017644873481036105
group_aoiyear,ridge100,0.02,history,3402,0.06548175041206085,0.06642257497532737,-0.0009408245632665235
group_aoiyear,ridge100,0.02,2025,1412,0.10231800425192786,0.10131168943801397,0.0010063148139138889
group_aoiyear,ridge100,0.02,new,4025,0.08122946350681477,0.08150395229491074,-0.0002744887880959668
group_aoiyear,ridge100,0.02,shared,789,0.05969537323269269,0.05919489273644048,0.0005004804962522105
group_aoiyear,ridge100,0.02,new_history,3402,0.06548175041206085,0.06642257497532737,-0.0009408245632665235
group_aoiyear,ridge100,0.02,new_2025,623,0.13861595226661716,0.13720534816020127,0.0014106041064158859
group_aoiyear,ridge100,0.02,shared_2025,789,0.05969537323269269,0.05919489273644048,0.0005004804962522105
group_aoiyear,ridge100,0.04,all,4814,0.0781616878434261,0.07828438403249433,-0.00012269618906822488
group_aoiyear,ridge100,0.04,history,3402,0.06542354368600137,0.06642257497532737,-0.000999031289326005
group_aoiyear,ridge100,0.04,2025,1412,0.10254740533979795,0.10131168943801397,0.0012357159017839792
group_aoiyear,ridge100,0.04,new,4025,0.08123604459639124,0.08150395229491074,-0.0002679076985195039
group_aoiyear,ridge100,0.04,shared,789,0.06007773476675205,0.05919489273644048,0.0008828420303115744
group_aoiyear,ridge100,0.04,new_history,3402,0.06542354368600137,0.06642257497532737,-0.000999031289326005
group_aoiyear,ridge100,0.04,new_2025,623,0.1387908424835634,0.13720534816020127,0.0015854943233621355
group_aoiyear,ridge100,0.04,shared_2025,789,0.06007773476675205,0.05919489273644048,0.0008828420303115744
group_aoiyear,ridge100,0.06,all,4814,0.07816378211780266,0.07828438403249433,-0.00012060191469166759
group_aoiyear,ridge100,0.06,history,3402,0.06543503221392105,0.06642257497532737,-0.000987542761406321
group_aoiyear,ridge100,0.06,2025,1412,0.10253518603479084,0.10131168943801397,0.0012234965967768685
group_aoiyear,ridge100,0.06,new,4025,0.08123570374417018,0.08150395229491074,-0.000268248550740563
group_aoiyear,ridge100,0.06,shared,789,0.06009670747980538,0.05919489273644048,0.0009018147433649051
