radius,method,policy,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
4,mean,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
2,median,dist502,bucket_0_0.01,0.06676644604069013,0.06296647172533697,0.07039250587957757
4,mean,dist503,bucket_0_0.02,0.06676669650000243,0.06297243090142696,0.07036083099087703
8,median,override6035,bucket_0.005_0.01,0.06676690864546922,0.06303207924649788,0.07037841955269697
2,median,dist502,bucket_0_0.03,0.06676705504562107,0.06297318666361845,0.07040385649695596
4,mean,dist502,bucket_0.005_0.02,0.06676738029018957,0.06297861562518654,0.07035816259212281
4,median,dist502,bucket_0_0.02,0.06676740385765297,0.06297684430411282,0.07035625764151851
2,median,override5525,bucket_0_0.005,0.06676755888506872,0.06302385140476383,0.07038023725797633
1,median,override6035,bucket_0_0.01,0.06676776335964103,0.06304210047613162,0.07038227233178378
1,mean,override6035,bucket_0_0.01,0.06676776335964103,0.06304210047613162,0.07038227233178378
2,mean,dist502,bucket_0_0.01,0.06676822295066044,0.06296767782363379,0.07039522286977666
4,median,override5525,bucket_0.005_0.01,0.0667683408655857,0.06303972342586708,0.0703605359417501
2,mean,override5525,bucket_0_0.005,0.0667685184348344,0.0630245534598966,0.07038161079506781
1,median,override6035,bucket_0.01_0.005,0.06676865222374512,0.06306380626420423,0.0703810257664623
1,mean,override6035,bucket_0.01_0.005,0.06676865222374512,0.06306380626420423,0.0703810257664623
