year,bd,robust,base,alpha,n,rmse,mae,facn
2019,4,trimmean,lag,0.5,249,0.06908460878162571,0.05000037991066004,247
2019,4,trimmean,lag,0.7,249,0.07530596029595761,0.05574039894051604,247
2019,4,trimmean,lag,1.0,249,0.08785696660173294,0.0672255066705635,247
2019,4,trimmean,lag,1.5,249,0.11401615664902207,0.08955462826477194,247
2019,4,trimmean,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,4,trimmean,base,0.1,249,0.0640869660743139,0.045913449803051044,247
2019,4,trimmean,base,0.2,249,0.06384994231244397,0.04512616228140447,247
2019,4,trimmean,base,0.3,249,0.06434188375746337,0.04508101931182151,247
2019,4,trimmean,base,0.4,249,0.06554637928276266,0.04597187134454411,247
2019,4,trimmean,base,0.5,249,0.06742525215499733,0.04774086493518266,247
2019,4,trimmean,base,0.7,249,0.07297944291873146,0.052945305860963625,247
2019,4,trimmean,base,1.0,249,0.08483014190460889,0.0639142720914481,247
2019,4,trimmean,base,1.5,249,0.11036673099061947,0.08621731143390084,247
2019,4,trimmean,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,4,trimmean,hgb,0.1,249,0.05811270996035968,0.03980643509315276,247
2019,4,trimmean,hgb,0.2,249,0.05926694854329184,0.04061603407527986,247
2019,4,trimmean,hgb,0.3,249,0.061167330167286704,0.04225254194838352,247
2019,4,trimmean,hgb,0.4,249,0.06374715938313537,0.044737221828624975,247
2019,4,trimmean,hgb,0.5,249,0.06692791150565068,0.04801535699239597,247
2019,4,trimmean,hgb,0.7,249,0.07477162720631354,0.055701034724885086,247
2019,4,trimmean,hgb,1.0,249,0.08920972355029515,0.06889098603790722,247
2019,4,trimmean,hgb,1.5,249,0.1173544979962018,0.0928280472307121,247
2019,4,mean,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,4,mean,lag,0.1,249,0.06394944347708423,0.044983051195143,247
2019,4,mean,lag,0.2,249,0.06400048186777549,0.04488128263655709,247
2019,4,mean,lag,0.3,249,0.06465898871778863,0.04553587118531442,247
2019,4,mean,lag,0.4,249,0.06590675799284752,0.04707264960670754,247
2019,4,mean,lag,0.5,249,0.0677112210838751,0.0489319418443638,247
2019,4,mean,lag,0.7,249,0.07281212287123398,0.05365335872624468,247
2019,4,mean,lag,1.0,249,0.08344605913218732,0.06319187138957492,247
2019,4,mean,lag,1.5,249,0.10628499291640557,0.08318839415638413,247
2019,4,mean,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,4,mean,base,0.1,249,0.06409854386442693,0.04598004997628795,247
2019,4,mean,base,0.2,249,0.06375413059652116,0.04521166621792584,247
2019,4,mean,base,0.3,249,0.06402146355026321,0.045043798583680655,247
2019,4,mean,base,0.4,249,0.06489298272184812,0.04562723024150537,247
2019,4,mean,base,0.5,249,0.06634488226215694,0.046874097430403085,247
2019,4,mean,base,0.7,249,0.0708329735880488,0.05115716999657288,247
2019,4,mean,base,1.0,249,0.08079143610495657,0.06038273393564854,247
2019,4,mean,base,1.5,249,0.10299363331754,0.08005393449238529,247
2019,4,mean,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,4,mean,hgb,0.1,249,0.05803118340415733,0.039765217529172364,247
2019,4,mean,hgb,0.2,249,0.058978295934097376,0.04044255644554875,247
2019,4,mean,hgb,0.3,249,0.06055950230735042,0.04171297715973253,247
2019,4,mean,hgb,0.4,249,0.06272686850592006,0.04360591209942536,247
2019,4,mean,hgb,0.5,249,0.06542216390356545,0.04626364558002175,247
2019,4,mean,hgb,0.7,249,0.07214871362415237,0.052941413373437385,247
2019,4,mean,hgb,1.0,249,0.0847345784344847,0.06433213428942643,247
2019,4,mean,hgb,1.5,249,0.10970258723311627,0.08611866939870226,247
2019,8,median,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,8,median,lag,0.1,249,0.06392570399981246,0.044772311494993035,247
2019,8,median,lag,0.2,249,0.06424705749325381,0.04493498101490655,247
2019,8,median,lag,0.3,249,0.06545807850205032,0.046259097624420244,247
2019,8,median,lag,0.4,249,0.06751090701352634,0.04818044944312903,247
2019,8,median,lag,0.5,249,0.07033187023225472,0.050846156807730525,247
2019,8,median,lag,0.7,249,0.07792259890064016,0.0577575751082187,247
2019,8,median,lag,1.0,249,0.09289306859392026,0.07102528300810708,247
2019,8,median,lag,1.5,249,0.1233241436802027,0.09675901661947259,247
2019,8,median,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,8,median,base,0.1,249,0.06405170251802868,0.04582504962373264,247
2019,8,median,base,0.2,249,0.06395527971561801,0.04508169998153079,247
2019,8,median,base,0.3,249,0.06475972430081167,0.04535271282490816,247
2019,8,median,base,0.4,249,0.06643231788445013,0.046779042952115955,247
2019,8,median,base,0.5,249,0.06890987380233275,0.04882465266198182,247
2019,8,median,base,0.7,249,0.07593989098798408,0.055230391359959885,247
2019,8,median,base,1.0,249,0.090351885131174,0.06799981814909038,247
2019,8,median,base,1.5,249,0.12031428670483298,0.09343520523434096,247
2019,8,median,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,8,median,hgb,0.1,249,0.05826590852385643,0.03978191798453226,247
2019,8,median,hgb,0.2,249,0.059755578689233646,0.040931523648967495,247
2019,8,median,hgb,0.3,249,0.06214844449243505,0.04326977014820257,247
2019,8,median,hgb,0.4,249,0.06534535944612031,0.04637987906499676,247
2019,8,median,hgb,0.5,249,0.06923503252996527,0.050149382455770115,247
2019,8,median,hgb,0.7,249,0.07866446355183901,0.0592858705920591,247
2019,8,median,hgb,1.0,249,0.09565124970630667,0.07456052960832754,247
2019,8,median,hgb,1.5,249,0.1280703143221081,0.10188938344265847,247
2019,8,trimmean,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
