held_seed,feature,alpha,n,coverage,rmse,base_rmse,delta
2,r32_crop_modis_resmed,0.0879532494,2644,0.2023449319,0.0650936397,0.0651400880,-0.0000464483
2,r64_all_resmed,0.1724620587,2644,0.9992435703,0.0647383341,0.0651400880,-0.0004017539
2,r64_all_resmean,0.2091164449,2644,0.9992435703,0.0643351969,0.0651400880,-0.0008048911
2,r64_all_rawmed,0.1724620587,2644,0.9992435703,0.0647383341,0.0651400880,-0.0004017539
2,r64_all_s2_resmed,0.1103774102,2644,0.6308623298,0.0650262543,0.0651400880,-0.0001138336
2,r64_all_landsat_resmed,0.0675222339,2644,0.6308623298,0.0649949693,0.0651400880,-0.0001451187
2,r64_all_modis_resmed,0.0213780986,2644,0.2212556732,0.0651277922,0.0651400880,-0.0000122958
2,r64_crop_resmed,0.1745378337,2644,0.9947049924,0.0645765669,0.0651400880,-0.0005635211
2,r64_crop_resmean,0.2017534554,2644,0.9947049924,0.0642087226,0.0651400880,-0.0009313654
2,r64_crop_rawmed,0.1714413629,2644,0.9947049924,0.0645799802,0.0651400880,-0.0005601078
2,r64_crop_s2_resmed,0.1540909584,2644,0.5461422088,0.0649009628,0.0651400880,-0.0002391252
2,r64_crop_landsat_resmed,0.1396668468,2644,0.4678517398,0.0648981855,0.0651400880,-0.0002419025
2,r64_crop_modis_resmed,0.0498089671,2644,0.2042360061,0.0651108832,0.0651400880,-0.0000292048
2,date_resmed,0.1736490195,2644,0.9992435703,0.0647475223,0.0651400880,-0.0003925657
2,crop_resmed,0.1723790816,2644,0.9947049924,0.0646051994,0.0651400880,-0.0005348886
2,date_resmean,0.1560993983,2644,0.9992435703,0.0647200399,0.0651400880,-0.0004200481
2,crop_resmean,0.1717154831,2644,0.9947049924,0.0645019687,0.0651400880,-0.0006381193
