seed,radius,method,pred,n,rmse,coverage
1,1,mean,b40_d_-0.03,2644,0.06386852403412627,0.8275340393343419
1,1,mean,b40_d_-0.02,2644,0.06375645844974225,0.8275340393343419
1,1,mean,b40_d_-0.01,2644,0.0636952669745515,0.8275340393343419
1,1,mean,b40_d_0,2644,0.06368509625504862,0.8275340393343419
1,1,mean,b40_d_0.01,2644,0.06372597072010723,0.8275340393343419
1,1,mean,b40_d_0.02,2644,0.06381779228847435,0.8275340393343419
1,1,mean,b40_d_0.03,2644,0.06396034154129797,0.8275340393343419
1,1,mean,b40_d_0.05,2644,0.06439615572794667,0.8275340393343419
1,1,mean,b40_d_0.1,2644,0.06633644163508122,0.8275340393343419
1,1,median,route,2644,0.06310680406119334,0.8275340393343419
1,1,median,direct,2644,0.19183817923122748,0.8275340393343419
1,1,median,r_plus_d_-0.2,2644,0.07220393010114283,0.8275340393343419
1,1,median,r_plus_d_-0.1,2644,0.06536936477586519,0.8275340393343419
1,1,median,r_plus_d_-0.05,2644,0.06361301138682594,0.8275340393343419
1,1,median,r_plus_d_-0.03,2644,0.06325717004414091,0.8275340393343419
1,1,median,r_plus_d_-0.02,2644,0.06315568273890196,0.8275340393343419
1,1,median,r_plus_d_-0.01,2644,0.06310551994734694,0.8275340393343419
1,1,median,r_plus_d_0,2644,0.06310680406119334,0.8275340393343419
1,1,median,r_plus_d_0.01,2644,0.06315953194249763,0.8275340393343419
1,1,median,r_plus_d_0.02,2644,0.06326357496188144,0.8275340393343419
1,1,median,r_plus_d_0.03,2644,0.06341868056104989,0.8275340393343419
1,1,median,r_plus_d_0.05,2644,0.0638804692731067,0.8275340393343419
1,1,median,r_plus_d_0.08,2644,0.06494312866354082,0.8275340393343419
1,1,median,r_plus_d_0.1,2644,0.06588893780373067,0.8275340393343419
1,1,median,r_plus_d_0.15,2644,0.06902450311210163,0.8275340393343419
1,1,median,r_plus_d_0.2,2644,0.07314235482576596,0.8275340393343419
1,1,median,b40_d_-0.1,2644,0.06604089941997149,0.8275340393343419
1,1,median,b40_d_-0.05,2644,0.06424409176130585,0.8275340393343419
1,1,median,b40_d_-0.03,2644,0.06386852403412627,0.8275340393343419
1,1,median,b40_d_-0.02,2644,0.06375645844974225,0.8275340393343419
1,1,median,b40_d_-0.01,2644,0.0636952669745515,0.8275340393343419
1,1,median,b40_d_0,2644,0.06368509625504862,0.8275340393343419
1,1,median,b40_d_0.01,2644,0.06372597072010723,0.8275340393343419
1,1,median,b40_d_0.02,2644,0.06381779228847435,0.8275340393343419
1,1,median,b40_d_0.03,2644,0.06396034154129797,0.8275340393343419
1,1,median,b40_d_0.05,2644,0.06439615572794667,0.8275340393343419
1,1,median,b40_d_0.1,2644,0.06633644163508122,0.8275340393343419
1,2,mean,route,2644,0.06310680406119334,0.9670953101361573
1,2,mean,direct,2644,0.1932423973816275,0.9670953101361573
1,2,mean,r_plus_d_-0.2,2644,0.07359683204799668,0.9670953101361573
1,2,mean,r_plus_d_-0.1,2644,0.06604338625156041,0.9670953101361573
1,2,mean,r_plus_d_-0.05,2644,0.06393481609654214,0.9670953101361573
1,2,mean,r_plus_d_-0.03,2644,0.06344539993546529,0.9670953101361573
1,2,mean,r_plus_d_-0.02,2644,0.06327938349000388,0.9670953101361573
1,2,mean,r_plus_d_-0.01,2644,0.06316642322856778,0.9670953101361573
1,2,mean,r_plus_d_0,2644,0.06310680406119334,0.9670953101361573
1,2,mean,r_plus_d_0.01,2644,0.063100677182237,0.9670953101361573
1,2,mean,r_plus_d_0.02,2644,0.06314805816181247,0.9670953101361573
1,2,mean,r_plus_d_0.03,2644,0.06324882674856627,0.9670953101361573
1,2,mean,r_plus_d_0.05,2644,0.06360937742291112,0.9670953101361573
1,2,mean,r_plus_d_0.08,2644,0.06454009577819551,0.9670953101361573
1,2,mean,r_plus_d_0.1,2644,0.06541187385510508,0.9670953101361573
1,2,mean,r_plus_d_0.15,2644,0.06841162002273682,0.9670953101361573
1,2,mean,r_plus_d_0.2,2644,0.07246007476416093,0.9670953101361573
1,2,mean,b40_d_-0.1,2644,0.06667718333362949,0.9670953101361573
1,2,mean,b40_d_-0.05,2644,0.06454790431501439,0.9670953101361573
1,2,mean,b40_d_-0.03,2644,0.06404625548581264,0.9670953101361573
1,2,mean,b40_d_-0.02,2644,0.06387327100176488,0.9670953101361573
